Cuber,Fastest,Slowest,Average,Improvement,Number of DNF's,Number of 3x3 World Records,Consistency
 Max Park ,4.76,8.98,6.03,0.003002,0,5,0.943205
 Luke Garrett ,3.87,12.19,6.8,0.013631,1,0,1.707363
 Yiheng Wang (王艺衡) ,3.66,7.84,5.29,0.015477,2,2,0.868591
 Yusheng Du (杜宇生) ,5.6,10.39,7.35,0.011017,4,1,1.04478
 Tymon Kolasiński ,3.66,8.78,5.68,0.008466,0,2,0.976807
 Claudio Matias Cancino Bruna ,3.74,9.35,7.11,0.011486,1,0,1.016216
 Jode Brewster ,6.08,10.88,7.71,-0.007624,1,0,1.028411
 Asher Kim-Magierek ,5.38,10.57,7.15,0.018934,1,0,1.19425
 Ruihang Xu (许瑞航) ,4.09,10.77,5.64,-0.011124,1,1,1.062196
 Natthaphat Mahtani (ณัฐภัทร จี มาทานี) ,4.64,11.38,8.08,0.011809,1,0,1.213866
 Max Siauw ,4.98,9.31,6.73,0.015942,0,0,0.97917
 Matty Hiroto Inaba ,4.05,7.88,5.84,-0.009214,1,0,0.773259
 Radosław Marcinek ,4.7,9.28,6.92,-0.003134,0,0,1.165971
 Ianis Costin Chele ,5.13,9.98,7.24,-0.010089,0,0,1.175413
 Sean Patrick Villanueva ,4.28,9.17,6.41,0.02001,0,0,0.969873
 Brennen Lin ,4.95,15.27,6.82,-0.014309,0,0,1.547372
 Brendyn Dunagan ,4.58,9.47,7.1,-0.01037,0,0,1.166509
 Feliks Zemdegs ,4.48,8.55,6.49,0.009553,0,22,0.907268
 Seung Hyuk Nahm (남승혁) ,5.16,11.79,6.76,0.02224,0,0,1.300633
 Riley Dexter ,4.76,9.24,6.79,0.002709,2,0,0.95343
 Xuanyi Geng (耿暄一) ,4.22,7.25,5.64,0.004703,0,0,0.655013
 Agustín Mera Landa ,6.81,13.47,8.63,-0.014554,0,0,1.375602
 Magdalena Pabisz ,4.24,9.86,7.78,0.006281,0,0,1.1326
 Patrick Ponce ,5.15,9.54,6.77,-0.005703,1,1,1.096948
 Dylan Miller ,4.26,9.36,6.42,-0.004159,1,0,1.012453
 Kyle Santucci ,4.71,11.28,6.7,-0.001959,3,0,1.305896
 Lingkun Jiang (姜凌坤) ,4.81,9.22,6.29,-0.008187,0,0,0.905589
