time,name,date
 3.13 , Max Park ," Jun 11, 2023 "
 3.47 , Yusheng Du (杜宇生) ," Nov 24, 2018 "
 4.22 , Feliks Zemdegs ," May 06, 2018 "
 4.59 , Feliks Zemdegs ," Jan 27, 2018 "
 4.59 , SeungBeom Cho (조승범) ," Oct 28, 2017 "
 4.69 , Patrick Ponce ," Sep 02, 2017 "
 4.73 , Feliks Zemdegs ," Dec 11, 2016 "
 4.74 , Mats Valk ," Nov 05, 2016 "
 4.90 , Lucas Etter ," Nov 21, 2015 "
 5.25 , Collin Burns ," Apr 25, 2015 "
 5.55 , Mats Valk ," Mar 02, 2013 "
 5.66 , Feliks Zemdegs ," Jun 25, 2011 "
 6.18 , Feliks Zemdegs ," Jun 25, 2011 "
 6.24 , Feliks Zemdegs ," May 07, 2011 "
 6.65 , Feliks Zemdegs ," May 07, 2011 "
 6.65 , Feliks Zemdegs ," Jan 29, 2011 "
 6.77 , Feliks Zemdegs ," Nov 13, 2010 "
 7.03 , Feliks Zemdegs ," Nov 13, 2010 "
 7.08 , Erik Akkersdijk ," Jul 12, 2008 "
 8.72 , Yu Nakajima (中島悠) ," May 05, 2008 "
 8.72 , Yu Nakajima (中島悠) ," May 05, 2008 "
 9.18 , Edouard Chambon ," Feb 23, 2008 "
 9.55 , Ron van Bruchem ," Nov 24, 2007 "
 9.77 , Erik Akkersdijk ," Oct 13, 2007 "
 9.86 , Thibaut Jacquinot ," May 05, 2007 "
 10.36 , Edouard Chambon ," Feb 24, 2007 "
 10.48 , Toby Mao (毛台立) ," Aug 04, 2006 "
 11.13 , Leyan Lo ," Jan 14, 2006 "
 11.75 , Jean Pons ," Oct 16, 2005 "
 12.11 , Shotaro Makisumi (牧角章太郎) ," Apr 03, 2004 "
 13.93 , Shotaro Makisumi (牧角章太郎) ," Apr 03, 2004 "
 14.76 , Shotaro Makisumi (牧角章太郎) ," Jan 24, 2004 "
 15.07 , Shotaro Makisumi (牧角章太郎) ," Jan 24, 2004 "
 16.53 , Jess Bonde ," Aug 23, 2003 "
 16.71 , Dan Knights ," Aug 23, 2003 "
 22.95 , Minh Thai ," Jun 05, 1982 "
